
======================================================================================
RUN STARTED: Sun Dec 21 15:33:29 2025
======================================================================================
 time |   V   |  <k>  | Δ<k> |  L  | ΔL |    Φ    |    Ψ    |    Ω    | acc%
13300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
13900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14600 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14700 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14800 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
14900 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15000 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15100 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15200 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15300 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15400 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
15500 |     2 |  1.00 | +0.00 |   2 |  +0 |  0.5000 |  0.0000 |  0.0000 | 0.00%
